item_index,unicode_nll,unicode_bpb,unicode_bpc,unicode_bpw,romanized_nll,romanized_bpb,romanized_bpc,romanized_bpw
0,66.58223628997803,1.2315110526519035,3.201928736894949,16.009643684474746,87.51638889312744,3.322617375069077,3.322617375069077,21.043243375437488
1,68.5106270313263,1.4975748767619366,4.118330911095326,24.709985466571954,75.244460105896,3.876957480326557,3.876957480326557,27.1387023622859
2,78.57974410057068,1.3658627364845433,3.6569873267166804,18.89443452136952,93.77847576141357,3.758159497864367,3.758159497864367,22.548956987186205
3,85.76179599761963,1.5466014722937098,4.124270592783226,24.745623556699357,85.67372131347656,3.8625329022954915,3.8625329022954915,24.720210574691144
4,105.38374328613281,1.727688679877493,4.471664818506453,21.71951483274563,93.21279907226562,3.5388853412878154,3.5388853412878154,19.211091852705284
5,74.73594868183136,1.518608204780425,3.9933771310892654,21.564236507882033,78.6287841796875,3.781245233572125,3.781245233572125,22.68747140143275
6,66.92698895931244,1.1775028667467131,3.218507835774349,19.311047014646093,123.03138542175293,3.2272139931211212,3.2272139931211212,25.356681374523095
7,80.13382911682129,1.5014114009646973,3.9865061335959204,19.26811297904695,83.95745658874512,2.9542684455178785,2.9542684455178785,20.18750104437217
8,91.57810068130493,1.3762424136140503,3.6699797696374676,18.874181672421262,109.12044525146484,3.6611052377647435,3.6611052377647435,22.489646460554855
9,71.52384901046753,1.587493881118346,4.1274840909077,20.6374204545385,80.81782722473145,3.5331963197739733,3.5331963197739733,23.319095710508222
10,76.3151478767395,1.6938382367150766,4.403979415459199,22.019897077295997,77.88729667663574,4.161763580134438,4.161763580134438,22.473523332725964
11,83.41186547279358,1.6713595092902311,4.297781595317738,20.056314111482777,91.79905033111572,3.485211438710974,3.485211438710974,22.073005778502836
12,95.81407308578491,1.439900917585777,3.8397357802287386,19.747212584033516,105.08114576339722,3.6095249496138924,3.6095249496138924,21.657149697683355
13,56.312187910079956,1.450737754276425,3.692787010885445,16.24826284789596,75.80995559692383,4.050764703322019,4.050764703322019,21.874129397938905
14,60.088329792022705,1.376018022321456,3.7690928437500744,21.67228385156293,66.43884086608887,3.9937910933298926,3.9937910933298926,23.962746559979355
15,80.11711812019348,1.5010982987314083,3.9856747931833945,23.11691380046369,88.24614143371582,3.857947594666906,3.857947594666906,25.462454124801578
16,81.8478512763977,1.6631195654067097,4.373388486810236,23.616297828775277,66.4840087890625,3.4255767777999546,3.4255767777999546,19.183229955679746
17,49.22827363014221,1.291297931595111,3.3819707732252904,14.20427724754622,53.27985382080078,3.4939354948435533,3.4939354948435533,15.373316177311635
18,54.84590721130371,1.6484566322250855,4.395884352600228,19.781479586701025,68.78602695465088,4.7255838080918755,4.7255838080918755,24.80931499248235
19,74.69393253326416,1.3994878707822729,3.7158815879391383,21.552113210047004,86.849112033844,3.915524476151148,3.915524476151148,25.059356647367345
20,65.90182435512543,1.2347563010737008,3.278490868368102,19.015247036534994,51.77082824707031,2.7662784138800967,2.7662784138800967,14.93790343495252
21,67.08401334285736,1.30786180233337,3.456491906166763,19.356354674533872,89.39827537536621,4.030451517127086,4.030451517127086,25.794889709613354
22,64.18609857559204,2.31502415272542,5.78756038181355,23.1502415272542,61.01926803588867,4.001463427002319,4.001463427002319,22.008048848512757
23,70.57820415496826,1.1067698383611038,2.994788974388869,16.970470854870257,74.51104640960693,2.9860199207385367,2.9860199207385367,17.916119524431224
24,62.03151345252991,1.945490366017433,4.971808713155662,17.898511367360385,55.19598197937012,3.6195895217560845,3.6195895217560845,15.926193895726772
25,44.19150996208191,1.1185065310822946,3.0359462986519428,15.938718067922698,63.472232818603516,3.8154614800645423,3.8154614800645423,22.89276888038725
26,75.57894921302795,1.5802518148584674,4.038421304638305,18.172895870872377,84.42354106903076,3.479926400987898,3.479926400987898,20.299570672429404
27,55.079341888427734,1.2613125936168643,3.454899712950541,19.865673349465613,61.12705850601196,3.391834775798192,3.391834775798192,22.04692604268825
28,71.02493226528168,1.1385257506510713,3.013744634076365,17.077886259766068,109.77435493469238,3.442846032197078,3.442846032197078,26.395152913510938
29,78.07819390296936,1.40803778931726,3.75476743817936,18.7738371908968,85.47084140777588,3.332658352421766,3.332658352421766,20.551393173267556
30,49.045517921447754,1.9654923745306516,5.054123248793104,23.58590849436782,49.46113586425781,4.1974903193,4.1974903193,23.785778476033336
31,83.45274209976196,1.85225934116788,4.815874287036488,24.07937143518244,71.65462493896484,3.828732298377897,3.828732298377897,20.675154411240644
32,60.242016315460205,1.7382171638293291,4.345542909573323,17.382171638293293,57.707139015197754,3.2020693569659935,3.2020693569659935,16.650760656223163
33,75.50389075279236,1.4720147129307515,3.890324598459843,18.154848126145936,89.28381729125977,4.15513936895925,4.15513936895925,21.468220072956125
34,68.80923271179199,1.3981794197278443,3.6766940296547017,19.85414776013539,82.57602310180664,3.842968355655126,3.842968355655126,23.826403805061783
35,63.06281089782715,1.783929500917916,4.788442344569142,22.745101136703425,56.26846504211426,3.5294884988996627,3.5294884988996627,20.29455886867306
36,86.48387396335602,1.2353451097405928,3.199227079071792,13.86331734264443,97.83203506469727,2.880444731181917,2.880444731181917,15.68242131421266
37,73.19906508922577,1.2878527829504203,3.5201309400644822,21.12078564038689,83.01933336257935,3.2370697443270515,3.2370697443270515,23.95431610802018
38,42.87499988079071,1.0140254050185518,2.68937172635355,15.463887426532914,73.06330680847168,3.634761048397618,3.634761048397618,26.352017600882732
39,88.64755439758301,1.4053998584211826,3.6540396318950754,18.270198159475378,100.64872741699219,3.5415956077141386,3.5415956077141386,20.743631416611382
40,96.19018638134003,1.4455531757765039,3.8548084687373434,23.128850812424062,113.97494316101074,3.82397872753469,3.82397872753469,27.40518088066528
41,85.84388732910156,1.5676778549408323,4.270570708287095,24.76931010806515,80.66148376464844,3.32485493194297,3.32485493194297,23.273984523600788
42,111.4008378982544,1.545359965256605,4.017935909667172,22.959633769526704,115.13172626495361,3.774999330259868,3.774999330259868,23.728567218776316
43,59.68295478820801,1.655851978818229,4.305215144927395,21.52607572463698,56.390111446380615,3.3897389224528873,3.3897389224528873,20.33843353471732
44,48.57739806175232,1.4600494017287338,3.8934650712766232,23.36079042765974,53.39582824707031,3.6682807912479607,3.6682807912479607,25.677965538735727
45,59.50878310203552,1.3414535354788062,3.577209427943483,17.17060525412872,69.72903442382812,3.7258419321938017,3.7258419321938017,20.11954643384653
46,88.74957799911499,1.4549838188671755,3.7658404723621013,18.291225151473064,90.67624092102051,3.633837863978033,3.633837863978033,18.68830901474417
47,63.447840452194214,1.5782049099223234,4.160722035249762,18.307176955098953,77.5056266784668,4.300653201923669,4.6590409687506416,22.36339665000308
48,61.70861268043518,1.5349432671414076,4.046668613372802,22.25667737355041,59.249216079711914,3.2876365467215005,3.2876365467215005,21.369637553689753
49,68.83331751823425,1.6017013843789025,4.137728576312166,19.861097166298393,77.13434600830078,3.589720595754482,3.589720595754482,22.25626769367779
50,77.48526096343994,1.49050135645256,3.8547448873773096,18.631266955657,77.99936437606812,3.4099786720559018,3.4099786720559018,18.754882696307458
51,52.927656173706055,1.957909412504663,5.090564472512124,25.45282236256062,42.95077323913574,3.872804222152971,3.872804222152971,20.654955851482512
