item_index,mixed_nll,mixed_bpb,mixed_bpc,mixed_bpw
0,141.58796882629395,3.294649362503797,4.085365209504708,22.69647338613727
1,186.04807090759277,2.164601848914051,4.627769470092109,24.4009662968493
2,185.18525218963623,1.8947932268068104,3.5622112663968033,20.551218844596942
3,103.7264199256897,3.1839487582118866,3.649892478925822,29.929118327191738
4,123.62439036369324,2.584815868269878,4.147727788619107,29.7253824851036
5,220.90707778930664,3.3904419747223953,4.306777643566287,24.515503509531168
6,128.77388191223145,2.293598034948115,4.5312546544096906,30.963573471799553
7,112.46589517593384,1.8230785307804243,4.385242952417777,32.45079784789155
8,250.17033863067627,3.058639889152452,3.5384265384312683,20.051083717777185
9,95.62297439575195,1.839397212744049,3.941565455880105,22.99246515930061
10,135.693941116333,3.209261900446109,3.9952035903512786,32.62749598786878
11,326.22778272628784,2.5718426466634847,4.240064903958719,27.685129667024572
12,215.78583407402039,2.3232324829304325,3.537649462644067,25.942762726056497
13,256.34465885162354,2.2013521909738714,3.3620651643964585,28.44824369873926
14,225.96116065979004,1.7717013365075729,4.405311431316128,29.635731447035766
15,174.64276885986328,2.7995139617915807,3.93681650876941,27.995139617915804
16,354.64698791503906,3.217908495165,3.905705730772786,31.977965670702186
17,147.1066117286682,1.8949105287761416,3.537166320382131,30.318568460418266
18,346.06257247924805,2.8693261905349923,3.328418381020591,23.774417007289934
19,105.6881582736969,2.3457812588023135,5.257785580074151,30.495156364430077
20,139.350980758667,2.3651878692181443,3.793225827991363,28.720138411934606
21,162.6401710510254,2.9701287117043935,3.5020920630544343,39.10669470410785
22,367.7123165130615,3.1957634669107637,3.444783996799914,26.524836775359336
23,107.32293701171875,2.4973269193620196,5.529795321444473,30.966853800089044
24,180.1341233253479,2.130152511609511,3.1692512977604923,25.987860641636036
25,141.23784971237183,2.397213474892465,3.9953557914874427,29.109020766551364
26,191.50883865356445,1.8419256787460139,3.6353796291039746,27.628885181190206
27,210.19301891326904,2.3690970782472918,3.2961350653875363,23.32649430889641
28,114.21814441680908,2.574717977026092,4.846527956754997,32.956390105933984
29,417.54825496673584,1.4274758217354273,3.4226977089338084,23.1690306450904
30,233.28544235229492,2.608990316226698,3.5427342188762534,25.889211599480312
31,156.82373046875,2.513875758233034,4.040157468588805,32.32125974871044
32,164.00400638580322,3.154770222649603,4.15101345085474,33.8011095283886
33,133.0807228088379,2.6665958171420723,3.8398979766845835,27.42784269060417
34,144.28079223632812,3.2523934914825228,4.525069205540901,34.69219724248024
35,119.11415123939514,2.0704264493105224,4.644470143047928,34.36907905855467
36,138.65470385551453,2.1509296091212757,4.256094758474013,22.226272627586518
37,224.95221662521362,1.2981497894487022,3.1205523784824574,18.02985818678753
38,94.48993444442749,1.5146684426322088,3.0981854508386086,17.04001997961235
39,135.5017433166504,1.5154084737576803,3.429608651135803,19.548769311474075
40,93.62315082550049,2.8139511543406046,3.7519348724541395,27.013931081669803
41,99.37416982650757,2.2756606666850816,3.4967468780770767,23.894437000193356
42,221.1943712234497,3.3241252337148266,3.7106514236816666,31.911602243662333
43,304.06269454956055,1.528465998418072,3.9519796535674474,27.416858846624166
44,350.1593141555786,1.6348644208845757,3.8562832523155257,24.055862193015898
45,296.4819235801697,3.5349834782010863,3.5349834782010863,30.552357204452246
46,165.81304216384888,3.32246741172913,4.271743815080311,26.57973929383304
47,103.48150515556335,2.488204238527616,4.66538294723928,29.85845086233139
48,233.22771048545837,1.6740122453495407,3.6975435309368976,19.79273301854457
49,75.73250770568848,2.6648515439288287,2.6648515439288287,18.209818883513663
50,132.47037887573242,1.8201367492257263,3.7473403660529665,23.88929483358766
51,134.66616296768188,3.665701990358861,3.964942969163666,21.58691172100218
52,514.35706615448,2.7181699215650723,3.0537464550916247,20.055686178034183
53,110.25454425811768,3.4579061790578067,4.4184356732405305,22.723383462379875
54,119.13820266723633,3.0692873958651097,3.5808352951759614,21.485011771055767
55,213.47339057922363,1.8116294232376395,3.499738658527258,21.998357282171337
56,156.0381202697754,1.7316570946372354,4.019918255407868,25.012824700315623
57,258.00661516189575,1.6254360882559573,3.685394695154596,23.264054013163392
58,324.64214849472046,1.2590312303679345,3.2524973451171646,22.30283893794627
59,142.85681867599487,2.7118266297504166,3.8166448863154008,22.899869317892406
60,109.31898403167725,1.7331203971156104,3.8466818570126966,19.714244517190068
61,127.62574195861816,1.7207946262941394,4.091667222521621,23.015628126684117
62,195.55558586120605,2.793337365743543,3.864754437535587,25.64791581273617
63,234.73725128173828,3.564781771958635,4.180916893037905,33.86542683360703
64,125.29168653488159,2.738752951946791,4.108129427920186,25.82252783264117
65,179.35196495056152,1.916668077095306,4.5394770246994085,32.343773800983286
66,155.95184648036957,1.530550717923171,3.9472097462229145,22.49909555347061
