corpus,method,n,cer_mean,cer_mean_cased,wer_mean,exact_pct,cer_relaxed_mean,exact_relaxed_pct,chrf,chrf2,bleu
social_media,phonetic,4397,0.18199876350300906,0.2164839248003736,0.606337504743844,4.161928587673414,0.10766853902154871,11.84898794632704,67.78892054511947,59.318050608157776,28.585627889083597
social_media,aksharamukha,4397,0.19102479829841357,0.22540706254738066,0.6397711669042718,3.5023879918125993,0.10772838220178833,11.803502387991813,63.656556905434684,55.37904379846955,26.261589676462158
social_media,uroman,4397,0.22777894981664845,0.2613992258607768,0.7463531577268092,1.5919945417329997,0.10771877336351805,11.871730725494656,55.70284151030285,47.129619869394126,20.71159124961634
social_media,nisansa_sirs_method,4397,0.19685444078876912,0.21029135804671617,0.6469313021488765,3.1839890834659994,0.10787397606573522,11.871730725494656,63.364888603893164,54.87791373600158,25.353823604939144
social_media,nisansa_w,4397,0.18225975554413792,0.19576534212577298,0.6064520418210829,4.161928587673414,0.10787397606573522,11.871730725494656,67.77009624472493,59.29572438116446,28.580931436118238
swa_bhasha_words,phonetic,449117,0.1199808992807906,0.11998869373730817,0.6669344142691844,33.310473662764934,0.03938046582765277,74.25258896902143,78.82496340125104,64.55763884103662,10.645519430425214
swa_bhasha_words,aksharamukha,449117,0.14719428203980764,0.1472020764963252,0.7602252493967793,23.981278820441,0.04033278820410356,73.76251622628402,69.73632339871278,56.21538204930297,0.794383374773881
swa_bhasha_words,uroman,449117,0.22723654034083604,0.22724433479735362,0.9028918596564666,9.71506311273009,0.04354252905953663,71.81068630223305,51.726298804836546,40.45645132921004,6.0754472694228685
swa_bhasha_words,nisansa_sirs_method,449117,0.16325331289500095,0.17005097338400596,0.7762392650467472,22.379691706170107,0.039394042301577434,74.14415397324082,67.8557035015134,54.25724908419804,7.913679201126884
swa_bhasha_words,nisansa_w,449117,0.12006154365681564,0.12754353950680625,0.6663877861077031,33.36502514934861,0.039394042301577434,74.14415397324082,78.74717638227213,64.39132339420088,10.39911332484226
augmented_sentences_sample,phonetic,300000,0.11244140582876559,0.11244140582876559,0.5343791033641636,3.425666666666667,0.037038400870054736,17.00733333333333,79.63079418553339,68.3382276980543,15.442893463066262
augmented_sentences_sample,aksharamukha,300000,0.13921869340991386,0.13921869340991386,0.6250932152746707,2.8186666666666667,0.037427005740564824,16.869666666666667,70.25513822590034,59.04881614586371,8.67305566981942
augmented_sentences_sample,uroman,300000,0.21033719646833357,0.21033719646833357,0.7809954174530106,1.737,0.039626653674551066,15.519666666666666,53.509292515207605,43.338114324619305,2.2202646829235086
