Sinhala to Romanized Singlish: transliteration method evaluation
Generated,2026-08-08
Primary metric,"CER, lower is better, scored against the closest accepted human variant, case-folded"
Scoring,"All items scored. Where a method produced no output the item counts as CER 1.0, not excluded."

Table 1. Summary
Corpus,Items,Best by CER,CER,Runner-up,CER
Social media (authentic sentence pairs),4397,Phonetic (in-house),0.182,Nisansa web (v->w preprocessed),0.1823
Swa-Bhasha words (multi-reference),450587,Phonetic (in-house),0.1206,Nisansa web (v->w preprocessed),0.1326
"Augmented sentences (300k sample, cross-check)",300000,Phonetic (in-house),0.1124,Nisansa web (v->w preprocessed),0.1138

Table 2. Accuracy - Social media (authentic sentence pairs)
Rank,Method,Items,Coverage %,CER,WER,chrF,chrF++,BLEU,Exact match %
1,Phonetic (in-house),4397,100.0,0.182,0.6063,67.79,59.32,28.59,4.16
2,Nisansa web (v->w preprocessed),4397,100.0,0.1823,0.6065,67.77,59.3,28.58,4.16
3,Aksharamukha,4397,100.0,0.191,0.6398,63.66,55.38,26.26,3.5
4,Nisansa web (as published),4397,100.0,0.1969,0.6469,63.36,54.88,25.35,3.18
5,uroman,4397,100.0,0.2278,0.7464,55.7,47.13,20.71,1.59

Table 3. Accuracy - Swa-Bhasha words (multi-reference)
Rank,Method,Items,Coverage %,CER,WER,chrF,chrF++,BLEU,Exact match %
1,Phonetic (in-house),450587,100.0,0.1206,0.668,78.67,64.4,10.57,33.2
2,Nisansa web (v->w preprocessed),450587,99.674,0.1326,0.6911,76.12,62.11,10.18,30.9
3,Aksharamukha,450587,100.0,0.1478,0.761,69.6,56.08,0.79,23.9
4,Nisansa web (as published),450587,99.674,0.1757,0.7936,65.55,52.31,7.74,20.64
5,uroman,450587,100.0,0.2278,0.9032,51.63,40.37,6.03,9.68

"Table 4. Accuracy - Augmented sentences (300k sample, cross-check)"
Rank,Method,Items,Coverage %,CER,WER,chrF,chrF++,BLEU,Exact match %
1,Phonetic (in-house),300000,100.0,0.1124,0.5344,79.63,68.34,15.44,3.43
2,Nisansa web (v->w preprocessed),300000,99.85,0.1138,0.5345,79.45,68.2,15.44,3.43
3,Aksharamukha,300000,100.0,0.1392,0.6251,70.26,59.05,8.67,2.82
4,Nisansa web (as published),300000,99.85,0.1531,0.6459,68.49,57.28,7.56,2.46
5,uroman,300000,100.0,0.2103,0.781,53.51,43.34,2.22,1.74

