item_index,unicode_nll,unicode_bpb,unicode_bpc,unicode_bpw,romanized_nll,romanized_bpb,romanized_bpc,romanized_bpw
0,61.63794207572937,1.1400609405545634,2.964158445441865,14.820792227209324,86.81250095367432,3.295893805606167,3.295893805606167,20.873994102172393
1,45.36907732486725,0.9917233767620288,2.727239286095579,16.363435716573473,69.03866767883301,3.5572051246369125,3.5572051246369125,24.900435872458388
2,51.00654721260071,0.8865890688733473,2.3737707327899296,12.264482119414637,83.8309907913208,3.3595154079846354,3.3595154079846354,20.157092447907814
3,66.32992625236511,1.1961731958352226,3.1897951888939273,19.138771133363562,83.75288200378418,3.775933360219311,3.775933360219311,24.16597350540359
4,57.33420968055725,0.9399520452207721,2.432817058218469,11.816539997061136,92.60619878768921,3.51585536175202,3.51585536175202,19.08607196379668
5,52.81860959529877,1.0732555792927854,2.8222646714736204,15.24022922595755,73.63955068588257,3.5413138195938085,3.5413138195938085,21.247882917562848
6,51.06051778793335,0.8983506804618799,2.4554918599291384,14.73295115957483,118.59535217285156,3.110853208222784,3.110853208222784,24.442418064607587
7,77.36229240894318,1.4494830598725224,3.8486274348339387,18.601699268364037,85.63134574890137,3.013168728209469,3.013168728209469,20.58998630943137
8,81.31059408187866,1.221941571392311,3.2585108570461623,16.758055836237407,113.43714141845703,3.805934915744837,3.805934915744837,23.379314482432573
9,47.481348633766174,1.0538631724408372,2.7400442483461767,13.700221241730883,81.53188800811768,3.564413651625022,3.564413651625022,23.525130100725143
10,66.35719347000122,1.4728183684073888,3.8293277578592106,19.146638789296052,77.01951742172241,4.115395401332594,4.115395401332594,22.22313516719601
11,67.58226156234741,1.3541749112230475,3.4821640574306936,16.250098934676572,97.54875898361206,3.7035029165928903,3.7035029165928903,23.455518471754974
12,74.82943713665009,1.1245422694745575,2.9987793852654865,15.42229398136536,114.21766662597656,3.923363362457268,3.923363362457268,23.540180174743607
13,40.105051040649414,1.0332028259097086,2.629970829588349,11.571871650188735,77.76397705078125,4.155174224109825,4.155174224109825,22.437940810193055
14,37.87118124961853,0.8672470695465357,2.3755028426709455,13.659141345357938,78.12191963195801,4.696087751572999,4.696087751572999,28.176526509437995
15,73.41549825668335,1.3755347436273948,3.6522819054934277,21.18323505186188,79.20790195465088,3.462813556036184,3.462813556036184,22.85456946983881
16,53.33637845516205,1.0837764605104119,2.849930692453305,15.389625739247847,70.46439456939697,3.6306654501611506,3.6306654501611506,20.331726520902443
17,47.80923318862915,1.2540753387261696,3.2844830299971104,13.794828725987864,67.8519515991211,4.44953064030409,4.44953064030409,19.577934817337994
18,54.91568720340729,1.6505539499034418,4.401477199742511,19.8066473988413,69.36186218261719,4.76514355227074,4.76514355227074,25.017003649421387
19,67.48734784126282,1.2644631435498488,3.3573676570116673,19.47273241066767,92.25905799865723,4.159427670367188,4.159427670367188,26.620337090350006
20,62.859487533569336,1.1777541680195078,3.1271403771552446,18.13741418750042,63.3477988243103,3.3848724153727474,3.3848724153727474,18.278311043012835
21,47.30243980884552,0.9222026396509476,2.4372498333632184,13.648599066834024,86.5678358078003,3.90284335688761,3.90284335688761,24.978197484080702
22,45.746098279953,1.6499417282126834,4.124854320531709,16.499417282126835,62.743520736694336,4.114534827942853,4.114534827942853,22.62994155368569
23,61.08126473426819,0.957843888297333,2.591812874216313,14.686939620559109,80.02061605453491,3.2068151652988135,3.2068151652988135,19.240890991792885
