item_index,mixed_nll,mixed_bpb,mixed_bpc,mixed_bpw
0,139.0869140625,3.236451631782551,4.013200023410364,22.29555568561313
1,178.53538131713867,2.077194429431097,4.440898435335449,23.415646295405097
2,187.42710971832275,1.9177316433955738,3.6053354895836787,20.80001243990584
3,97.08007621765137,2.97993498996443,3.4160230372762985,28.011388905665644
4,123.96426773071289,2.5919222362685685,4.159131030291425,29.807105717088543
5,198.56170749664307,3.047489262934594,3.871135009673674,22.03569159352707
6,122.40546345710754,2.1801698161393124,4.307164758714251,29.432292517880718
7,112.70558023452759,1.8269638391557992,4.394588694185571,32.51995633697322
8,235.03595066070557,2.8736033936340935,3.324364710282579,18.838066691601277
9,102.16743350028992,1.9652859953496162,4.211327132892035,24.566074941870205
10,120.5231773853302,2.8504621364917497,3.548534496448913,28.979698387666126
11,317.62842178344727,2.504048901379057,4.1282968374087154,26.955349938374553
12,210.15139603614807,2.2625699768451,3.4452770101959476,25.26536474143695
13,251.68383407592773,2.1613274957932243,3.3009365390296517,27.931001484097052
14,232.43905806541443,1.8224928064123653,4.531603734863179,30.485334216352292
15,178.4457516670227,2.8604755666413015,4.02254376558933,28.604755666413016
16,338.14844608306885,3.0682080896122796,3.724008291972156,30.49031789052203
17,151.26128911972046,1.9484277829597538,3.637065194858207,31.17484452735606
18,353.26305198669434,2.929027892129333,3.3976723548700267,24.26908824907162
19,99.53524589538574,2.2092154714913317,4.951689849894364,28.719801129387314
20,133.0487766265869,2.258221296888475,3.6216756648211392,27.42125860507434
21,158.0342960357666,2.8860163946984665,3.4029148534504308,37.99921586352981
22,362.0486755371094,3.146541137095211,3.391726160764968,26.116291437890254
23,92.53115653991699,2.1531329139977196,4.7676514524235225,26.698848133571722
24,208.12134671211243,2.461111760694239,3.661654082984112,30.025563480469717
25,120.72352409362793,2.049026229747251,3.4150437162454184,24.881032789788044
26,190.89215087890625,1.8359943961175056,3.6236731502319186,27.539915941762583
27,218.36781978607178,2.4612357085554737,3.42432794233805,24.233705438084666
28,115.7994875907898,2.61036478882368,4.91362783778575,33.4126692969431
29,439.13588523864746,1.5012776395975869,3.599654340398759,24.36689091962237
30,247.26104140281677,2.7652889785804993,3.7549713498619415,27.44017524899111
31,162.08853149414062,2.5982702285730137,4.175791438778058,33.40633151022446
32,156.0212242603302,3.001213953517376,3.948965728312337,32.15586378768617
33,138.5106484889984,2.7753975789637835,3.996572513707848,28.546946526484632
